Track,Album Name,Artist,Release Date,Spotify Streams,TrackNameLength
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7/11/2019,"76,53,74,782",39
Losing It,Losing It,FISHER,7/13/2018,"52,39,54,769",8
MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,Lil Mabu,5/5/2023,"16,56,42,949",22
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,"81,52,43,082",18
Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,4/23/2021,"24,74,62,687",15
Perfect Strangers,Perfect Strangers,Jonas Blue,6/3/2016,"1,05,02,46,077",16
Hey Brother,TRUE,Avicii,1/1/2013,"1,00,76,23,089",10
Otra Noche,Otra Noche - Single,Los ï¿½ï¿½ngeles Az,11/11/2021,"23,88,49,559",9
Yet To Come,Proof,BTS,6/10/2022,"34,47,44,597",9
When I'm Gone,When Iï¿½ï¿½ï¿½m Gone (with Katy ,Alesso,12/29/2021,"27,99,96,207",10
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,"5,66,70,689",10
WATATI (feat. Aldo Ranks) [From Barbie The Album],WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,6/1/2023,"10,00,94,720",37
911,911,Fuerza Regida,11/30/2022,"18,16,95,722",3
Always,NEVER ENOUGH,Daniel Caesar,4/7/2023,"28,17,07,091",6
YKWIM?,Bipolar,Yot Club,5/31/2019,"67,59,84,633",5
Damage,Damage,H.E.R.,10/21/2020,"10,82,41,832",6
Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,8/7/2020,"22,78,02,182",23
Bellyache,Bellyache,Billie Eilish,2/24/2017,"96,58,99,534",9
No Wahala,No Wahala,1da Banton,7/2/2021,"15,40,10,050",8
Wait a Minute!,ARDIPITHECUS,WILLOW,1/11/2015,"1,08,10,39,358",11
HONEY BEES,HONEY BEES - Single,Hachi,2/6/2023,"4,23,395",9
Gypsy,Gypsy,G.D. Kaur,5/10/2022,"5,89,89,412",5
Ojos Marrones,Ojos Marrones,Lasso,6/3/2022,"37,09,88,405",12
WASTE,DISORDER,Kxllswxtch,10/29/2021,"27,20,51,636",5
512,Primer Dia de Clases,Mora,2/5/2021,"47,58,20,416",3
MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,DJ GLK,8/5/2022,,11
Little Things x Gypsy Woman - L BEATS MASHUP,Little Things x Gypsy Woman (L BEATS MASHUP),Jorja Smith,6/30/2023,"12,36,27,077",35
Wake Up (feat. Chris Brown),Wake Up (feat. Chris Brown),Skylar Blatt,4/26/2024,"80,40,021",20
Sï¿½ï¿½guelo Bail,Odisea,Ozuna,8/25/2017,"54,47,55,640",10
Arranca (feat. Omega),Arranca (feat. Omega),Becky G,3/10/2023,"16,11,72,707",16
The Family Madrigal,Encanto (Original Motion Picture Soundtrack),Stephanie Beatriz,11/19/2021,"21,79,19,853",17
Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,7/26/2019,"38,03,67,132",10
Flawlï¿½ï¿½ss (feat. Lil Uzi V,Lyfï¿,Yeat,9/9/2022,"23,35,73,513",18
Praise Jah in the Moonlight,Praise Jah in the Moonlight - Single,Uzii BigTalk,12/25/2023,,23
Bon appï¿½ï¿,Bon Appï¿½ï¿,Katy Perry,4/28/2017,"28,08,98,252",6
I'm the One,EPIC AF,DJ Khaled,1/1/2017,"1,25,70,29,279",8
Stay With Me,Candy Baby,1nonly,7/30/2020,"39,89,42,581",10
Typa Girl,BORN PINK,BLACKPINK,9/16/2022,"35,70,54,107",8
Ayy Macarena,Ayy Macarena,Tyga,11/13/2019,"41,73,11,779",11
ELA PIROU NA DODGE RAM,ELA PIROU NA DODGE RAM - Single,Luan Pereira,3/17/2023,"14,94,55,007",18
Like What (Freestyle),Like What (Freestyle),Cardi B,3/1/2024,"2,34,75,715",17
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,1/1/2009,"1,58,71,14,096",13
Wet Dreamz,2014 Forest Hills Drive,J. Cole,12/9/2014,"1,24,48,64,869",9
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,1/31/2023,"13,32,230",14
Next Level,Next Level,aespa,5/17/2021,"24,53,84,123",9
Whiskey Glasses,The Way I Talk,Morgan Wallen,7/29/2016,"80,67,28,296",14
Bado Badi,Bado Badi,Chahat Fateh Ali Khan,4/23/2024,"9,01,007",8
Esta Vida,Esta Vida - Single,Marshmello,4/13/2023,"9,43,59,848",8
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,9/7/2017,"1,68,76,83,940",21
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,6/20/2019,"49,63,44,788",15
Bolide allemand,Liens du 100,SDM,12/1/2022,"15,25,46,936",14
Amor Tumbado,Mi Nuevo Yo,Natanael Cano,12/24/2019,"41,37,43,535",11
New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,8/31/2022,"15,53,99,041",35
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,11/2/2023,"7,75,90,300",6
Don't Mind,EPIC AF,Kent Jones,1/1/2016,"41,61,47,244",8
Dientes,Dientes,J Balvin,9/15/2023,"3,86,22,215",7
Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,2/9/2018,"98,24,24,606",18
Wake Up! (feat. Juice WRLD),11th Dimension,Ski Mask The Slump God,6/7/2024,"28,86,460",19
Midnight Rain,Midnights,Taylor Swift,10/21/2022,"65,82,08,129",12
Lagdi Lahore Di (From "Street Dancer 3D"),Lagdi Lahore Di (From "Street Dancer 3D"),Guru Randhawa,1/15/2020,"11,28,51,903",31
Boo'd Up,Ella Mai,Ella Mai,10/12/2018,"7,97,83,827",6
A Mï¿,A Mï¿,Rels B,2/21/2019,"63,11,52,992",2
Buttabomma - Telugu,Buttabomma (From "Ala Vaikunthapurramuloo") - Single,Armaan Malik,12/24/2019,"9,21,20,986",16
Burn It Down,Never Enough,Parker McCollum,5/12/2023,"4,23,32,727",10
Tu Fan,tu fan,mafalda cardenal,5/26/2023,"6,56,70,361",5
Whole Lotta Choppas,Whole Lotta Choppas,Sada Baby,8/14/2020,"5,53,12,275",17
Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,1/1/2008,"1,31,55,77,954",9
Galaxy Express,Galaxy Express - Single,D Gerrard,1/5/2024,"2,07,10,234",13
Skate,Skate,Bruno Mars,7/30/2021,"24,89,47,222",5
Mercy,Mercy,Shawn Mendes,8/18/2016,"1,35,15,15,181",5
Dame Tu Cosita (feat. Cutty Ranks),Dame Tu Cosita,El Chombo,4/15/2018,"4,73,25,533",26
Enemy - from the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,10/27/2021,"31,32,09,345",39
Dear John,End of the World,Wild Child,3/31/2023,"2,71,785",8
Mount Everest,Mount Everest,Labrinth,6/21/2019,"61,21,59,812",12
Escï¿½ï¿½n,Escï¿½ï¿½n,ýýengo Flow,8/25/2023,"6,37,48,913",4
LAISSE MOI,LAISSE MOI,KeBlack,9/8/2023,"7,68,05,130",9
This Is The Life,This Is The Life,LIZOT,10/13/2023,"7,27,73,866",13
Baianï¿,Baianï¿,Bakermat,7/26/2019,"40,27,71,910",5
Homicide (feat. Eminem),Homicide,Logic,5/3/2019,"52,60,19,789",18
More Than My Hometown,More Than My Hometown,Morgan Wallen,4/17/2020,"50,32,96,417",18
Work Out,Work Out,J. Cole,7/4/2011,"95,55,47,971",7
Soltera,ýýpico,Lunay,10/25/2019,"17,06,46,969",7
Fall In Love Alone,Fall In Love Alone,Stacey Ryan,5/13/2022,"25,06,26,750",15
Huntinï¿½ï¿½ï¿½ W,Might Delete Later,J. Cole,4/5/2024,"3,69,72,292",7
Plain Jane,Plain Jane,A$AP Ferg,8/4/2017,"73,37,72,721",9
ORANGE SODA,ORANGE SODA,Baby Keem,7/16/2019,"67,66,90,653",10
Clap For 'Em (feat. Flo Milli & Sada Baby),Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,3/20/2021,"2,16,34,137",29
Righteous,Righteous,Juice WRLD,4/24/2020,"55,36,27,198",9
Tï¿½ï¿½ ,Odisea,Ozuna,8/25/2017,"50,05,08,660",1
Casei Com a Putaria,Casei Com a Putaria,Mc Paiva ZS,7/1/2022,"25,55,64,797",16
9mm,Memphis Cult Vol. 6,Memphis Cult,2/23/2023,"15,78,26,873",3
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,8/30/2019,"61,97,708",8
Envy Me,Envy Me,Calboy,9/13/2018,"49,28,73,992",6
DEJA VU,DEJA VU,Luan Santana,12/7/2023,"11,72,85,775",6
Gï¿½ï¿½r,Gï¿½ï¿½r Bak - Si,Fatih Bulut,3/8/2024,"1,13,15,262",2
vendetta!,vendetta!,MUPP,5/20/2022,"31,79,19,778",8
Tï¿½ï¿½ OK (Re,Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch,DENNIS,8/3/2023,"11,26,29,182",5
I'll Be Waiting,I'll Be Waiting,Cian Ducrot,11/10/2022,"18,50,42,019",12
Admirin' You (feat. Preston Pablo),Admirin' You (feat. Preston Pablo),Karan Aujla,8/1/2023,"9,79,89,585",26
Untitled #13,Untitled #13,Glwzbll,4/4/2023,"3,22,44,050",10
El Belicï¿½,El Belicï¿½,Peso Pluma,2/4/2022,"25,42,75,891",7
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,"8,82,44,010",17
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,12/5/2018,"47,58,81,575",33
BANZAI!,BANZAI!,Kazuo,12/24/2022,"1,18,164",6
One Thing Right,One Thing Right (feat. Kane Brown),Marshmello,6/21/2019,"54,50,11,148",13
Wildest Dreams,1989 (Deluxe),Taylor Swift,1/1/2014,"96,40,58,806",13
Calling For You (feat. 21 Savage),For All The Dogs,Drake,10/6/2023,"7,42,65,576",25
Like That,WE DON'T TRUST YOU,Future,3/20/2024,"35,26,23,365",8
What About Us,What About Us,P!nk,8/10/2017,"78,84,03,596",11
On The Floor,VTM Kzoom Hits Best Of 2011,Jennifer Lopez,1/1/2011,"45,62,41,170",10
Mentalitï¿,EP2,Baby Gang,6/17/2022,"12,06,05,300",8
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9/28/2018,"1,56,98,91,590",34
Captain Hook,Suga,Megan Thee Stallion,3/6/2020,"19,90,63,354",11
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Djpaoremix,2/3/2023,"1,34,274",0
I'll Be There,I'll Be There,Robin Schulz,10/13/2023,"2,10,67,560",10
Heavy stunts (with Don Toliver),King tonka,Yeat,5/3/2024,"1,16,80,886",25
Time Today,Time Today,Moneybagg Yo,2/3/2021,"19,10,71,471",9
Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,5/3/2019,"79,35,28,511",18
messy in heaven,messy in heaven,venbee,9/23/2022,"12,07,85,398",13
Maquillaje,Maquillaje - Single,Renn,1/10/2024,"7,13,20,813",10
Shiver,Shiver,John Summit,2/14/2024,"3,00,48,265",6
Novidade na ï¿½ï¿,Novidade na ï¿½ï¿,Mc Livinho,6/23/2023,"19,12,34,818",10
Coming for You (feat. A1 x J1),Coming for You (feat. A1 x J1),SwitchOTR,10/29/2021,"16,98,96,142",21
Toxic Pony,Toxic Pony (feat. Britney Spears & Ginuwine),ALTï¿½ï,1/21/2022,"10,32,32,015",9
Grey,Grey - Single,Yung Filly,1/26/2024,"4,88,58,795",4
Aquï¿½ï¿½ A,Aquï¿½ï¿½ A,Christian Nodal,7/10/2020,"42,33,13,161",4
Whistle,Pioneer The Album (Vol.13),Flo Rida,9/27/2010,"81,42,72,136",7
Ceux qu'on ï¿½ï¿½,Ceux qu'on ï¿½ï¿½tait - Si,Pierre Garnier,2/7/2024,"5,04,98,801",8
Apaga El Cel,Apaga El Cel,Calle 24,12/22/2023,"14,59,75,016",10
ýýýýýýýýýýýýýýýýýý - ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý,ýýýýýýýýýýýýýýýýýý (ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý),Ahmed Saad,6/20/2023,"2,05,88,020",0
Leave Me Alone,Leave Me Alone,Flipp Dinero,3/14/2018,"65,18,63,663",12
LATTE (feat. Maria Becerra),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/2024,"2,58,13,787",21
Rolling in the Deep - Acapella,Rolling In The Deep,Adele,1/16/2011,"1,11,70,019",24
In My Head,In My Head,Lil Tjay,4/1/2022,"23,70,61,046",8
Plan A,Plan A,Paulo Londra,3/23/2022,"27,54,16,061",5
GoodSin,Avana - EP,Olivetheboy,4/21/2023,"95,13,971",7
Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,10/9/2012,"1,22,63,81,432",18
River,River,Bishop Briggs,1/22/2016,"54,73,04,707",5
Dil Diyan Gallan,Tiger Zinda Hai (Original),Atif Aslam,12/12/2017,"20,41,27,666",14
Little Bit of Love,Little Bit of Love,Tom Grennan,1/8/2021,"38,91,64,529",15
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,1/1/2012,"83,96,42,356",19
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"10,54,24,914",18
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,1/1/2000,"1,79,80,20,679",16
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],sped up nightcore,7/18/2022,"34,92,767",53
Save Me,Save Me,Jelly Roll,6/25/2020,"14,35,28,699",6
ýýýýýý,ýýýýýý,SPRITE,4/29/2021,"91,26,545",0
Best For Me,Best For Me,Joyner Lucas,3/18/2024,"1,88,52,560",9
Ni Me Debes Ni Te Debo,Colmillo De Leche,Carin Leon,5/19/2023,"16,89,63,270",17
Ya No Vuelvas,Ya No Vuelvas,Luck Ra,8/9/2022,"2,87,39,240",11
Scared To Be Lonely,Dua Lipa (Complete Edition),Martin Garrix,1/1/2015,"1,25,48,83,107",16
Un Aï¿½,Un Aï¿½,Sebastian Yatra,1/18/2019,"57,32,90,850",3
21,THE GOAT,Polo G,5/15/2020,"50,07,66,243",2
I Gotta Feeling,The E.N.D. (The Energy Never Dies),Black Eyed Peas,1/1/2009,"1,42,36,55,688",13
NOSTYLIST,NO STYLIST,Destroy Lonely,8/12/2022,"10,09,73,437",9
Respect (2021 Remaster),The Genius of Aretha Franklin,Aretha Franklin,2/19/2021,"60,77,26,217",19
SO DONE,SO DONE,The Kid LAROI,10/23/2020,"42,87,87,524",6
The Boat Beat,The Boat Beat,Ricky Desktop,5/12/2020,"1,38,47,072",11
No Es Justo,No Es Justo,J Balvin,5/11/2018,"58,09,41,059",9
New Jeans,NewJeans 'Super Shy',NewJeans,7/7/2023,"25,38,90,110",8
Cat Partying (TikTok Sped Up) - Remix,Cat Partying (TikTok Sped Up) [Remix],Music Factory,3/20/2023,"23,68,578",28
WANNABE,IT'z ME,ITZY,3/9/2020,"36,58,45,397",7
Yï¿½ï¿½reï¿½ï¿½i,Yï¿½ï¿½reï¿½ï¿½i,Amo988,9/15/2023,"7,59,79,813",4
No Angels,Everything I Thought It Was,Justin Timberlake,3/14/2024,"1,10,92,257",8
Champagne Poetry,Certified Lover Boy,Drake,9/3/2021,"30,83,96,120",15
Imitadora,Imitadora,Romeo Santos,6/23/2017,"50,39,04,686",9
ýýýýýýýýýýýýýý,ýýýýýýýýýýýýýý - Single,Akris & Teddy,5/31/2024,"3,06,040",0
20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,11/17/2017,"1,00,67,34,157",5
Om Jai Jagdish Hare,The Bhajan Project 2,Shivali,2/16/2023,"8,313",16
Ya No Tiene Novio,Ya No Tiene Novio,Sebastian Yatra,8/10/2018,"43,15,29,832",14
Your Power,Your Power,Billie Eilish,4/29/2021,"42,34,39,672",9
Bling Bling,Bling Bling - Single,Grupo Marca Registrada,11/27/2023,"9,63,83,243",10
PERO Tï¿,PERO Tï¿,KAROL G,2/23/2023,"21,29,11,684",5
N'y pense plus,N'y pense plus,Tayc,6/19/2020,"17,79,52,382",11
Body,Good News,Megan Thee Stallion,11/20/2020,"32,76,93,363",4
Where You Are,Where You Are,John Summit,3/3/2023,"12,30,58,600",11
Scream & Shout,Scream & Shout,will.i.am,11/20/2012,"76,76,61,283",11
bigger thï¿½ï¿½n everyt,bigger thï¿½ï¿½n everyt,Yeat,8/10/2023,"4,87,90,265",15
Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),Ice Spice,4/14/2023,"22,02,70,601",27
This Is Me,This Is Me,Keala Settle,10/27/2017,"80,98,94,358",8
QUE PRETENDES,OASIS,J Balvin,6/28/2019,"80,68,17,589",12
The Chicken Wing Beat,The Chicken Wing Beat,Ricky Desktop,6/13/2020,"6,80,33,539",18
Nï¿½ï¿½o Vou Nam,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,1/19/2024,"7,31,92,291",8
Rim Tim Tagi Dim,Rim Tim Tagi Dim,Baby Lasagna,1/12/2024,"3,49,26,866",13
Baila Baila Baila,Baila Baila Baila,Ozuna,1/5/2019,"56,33,26,343",15
Ms. Jackson,Ms. Jackson,Pashanim,8/24/2023,"9,12,00,208",9
Sï¿½ï¿½PER ULTRA ,Sï¿½ï¿½PER ULTRA ,Picus,4/15/2023,"1,41,67,450",9
Happier (feat. Clementine Douglas),Happier (feat. Clementine Douglas) - Single,The Blessed Madonna,2/2/2024,"3,08,12,151",28
Sin Tanto Royo,Sin Tanto Royo,Luis R Conriquez,10/20/2023,"9,21,58,242",12
Psycho,ýýýThe ReVe Festivalýýý Finale,Red Velvet,12/23/2019,"47,10,42,668",6
Rhyme Dust,Rhyme Dust,MK,2/24/2023,"11,69,92,202",9
Tu Foto,Tu Foto,Q' Lokura,5/16/2024,"92,44,547",6
Loco,Loco,Justin Quiles,5/13/2021,"41,70,78,369",4
Siempre Pendientes,Siempre Pendientes,Peso Pluma,8/15/2022,"39,57,39,041",17
LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,"1,12,82,322",6
Slut Me Out,Slut Me Out - Single,NLE Choppa,4/15/2022,"34,68,62,697",9
Real Love,Real Love,Martin Garrix,9/22/2023,"2,30,89,149",8
A Tu Merced,YHLQMDLG,Bad Bunny,2/29/2020,"77,82,69,101",9
Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,1/1/2012,"1,62,34,36,416",14
Exchange,T R A P S O U L,Bryson Tiller,10/2/2015,"98,96,72,356",8
Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach,1/8/2021,"38,59,03,701",21
She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,6/1/2018,"57,26,28,080",17
Y Si Se Quiere Ir,Y Si Se Quiere Ir,Luis Angel "El Flaco",11/19/2021,"11,02,44,949",13
Camelot,Camelot,NLE Choppa,9/13/2019,"53,71,63,250",7
Stuck In The Middle,Stuck in the Middle,Tai Verdes,5/29/2020,"14,34,21,888",16
Step Back!,Step Back!,1nonly,9/2/2022,"16,64,36,749",8
ýýýýýý,ýýýýýý,YOASOBI,1/6/2021,"31,13,07,250",0
UK Rap,Split Decision,Dave,6/4/2023,"10,77,42,416",5
Yugur,Yugur - Single,Dildora Niyozova,2/21/2024,"17,009",5
Mi Cama,Mi Cama,KAROL G,5/11/2018,"22,43,67,887",6
Always This Same Old Song,Better Lucky Than Beautiful,Bingo Club,2/24/2023,"84,198",21
True Love,True Love,Kanye West,5/27/2022,"26,93,63,579",8
La Triple T,La Triple T,TINI,5/5/2022,"26,52,44,748",9
Car's Outside,YOU,James Arthur,10/18/2019,"57,84,64,780",11
Northern Attitude (with Hozier),Northern Attitude (with Hozier),Noah Kahan,11/10/2023,"26,92,80,631",26
Paradise,Mylo Xyloto,Coldplay,10/19/2011,"1,29,19,54,163",8
Devil Doesnï¿½ï¿½ï¿½t B,(Un)Commentary,Alec Benjamin,4/15/2022,"20,34,17,763",12
Vamos Aclarando Muchas Cosas - En Vivo,Vamos Aclarando Muchas Cosas (En Vivo),Codiciado,9/2/2022,"14,51,35,597",31
Peru,#NAME?,Fireboy DML,1/1/2020,"31,65,88,910",4
Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao ,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,6/23/2022,"29,07,35,048",29
Just Pretend,THE DEATH OF PEACE OF MIND,Bad Omens,2/25/2022,"20,96,35,991",11
older,older,Isabel LaRosa,9/15/2023,"17,49,33,335",5
Happy Dance,Happy Dance,Elmo,2/3/2023,,10
Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,6/15/2017,"89,94,31,434",22
Alone,Black Panther: Wakanda Forever - Music From and Inspired By,Burna Boy,11/4/2022,"13,97,83,785",5
Delicate,reputation,Taylor Swift,11/10/2017,"98,77,70,768",8
Labios Mordidos (with KAROL G),Labios Mordidos (with KAROL G),Kali Uchis,11/24/2023,"9,15,53,012",24
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,6/16/2021,"20,30,81,704",34
Ni**as In Paris,Watch the Throne (Deluxe),JAY-Z,1/1/2011,"1,43,60,87,930",11
Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,4/21/2023,"13,67,78,408",28
Butterfly x Boom - Remix,Butterfly x Boom (Remix),LEA,1/13/2022,,19
On The Radar Freestyle,On The Radar Freestyle,Drake,7/26/2023,"8,61,55,124",19
Forever (feat. Fridayy),It's Only Me,Lil Baby,10/14/2022,"10,17,17,995",18
Bang Bang,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,1/1/2014,"1,33,61,96,012",8
Reminder,Starboy,The Weeknd,11/25/2016,"1,01,59,65,940",8
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,10/26/2023,"26,59,32,119",30
icantbelieveiletyougetaway,icantbelieveiletyougetaway,aldn,5/31/2024,"31,62,942",26
Harmless Python,INKUBATOR,Hot Lemon,2/25/2023,,14
Funk Estranho,Funk Estranho - Single,prod.67,5/31/2024,"3,589",12
Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,5/6/2022,"37,08,00,055",13
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,5/8/2020,"43,75,58,372",42
JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,7/28/2023,"5,80,58,696",18
Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,7/8/2021,"23,76,19,076",16
Salt,Salt (The Remixes),Ava Max,12/12/2019,"38,88,02,420",4
Fire On Fire,Fire On Fire,Sam Smith,12/21/2018,"69,78,34,321",10
Problema,Problema,Carlos Agassi,9/27/2023,"1,25,395",8
Shoong! (feat. LISA of BLACKPINK),Down to Earth,TAEYANG,4/25/2023,"15,69,94,096",25
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,5/29/2019,"23,98,50,720",51
Boyz In Paris (with VINAI),Boyz In Paris (with VINAI),Marnik,7/28/2023,"13,67,09,117",20
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,10/16/2018,"98,70,61,577",7
Ngozi,Trench to Triumph,Crayon,7/21/2023,"4,85,81,084",5
i am not who i was,i am not who i was - Single,Chance Peï¿½,9/21/2023,"18,82,15,390",13
Single Again,Single Again,Harmonize,2/19/2023,,11
July,July,Noah Cyrus,7/31/2019,"97,78,70,118",4
Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,5/26/2017,"43,34,82,670",21
Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,1/24/2022,"20,90,92,342",12
Drag Me Down,Drag Me Down,One Direction,7/31/2015,"1,12,53,33,823",10
Tu Turrito,Tu Turrito,Rei,5/4/2022,"18,78,18,818",9
greedy,greedy (Official Video),Tate McRae,9/14/2023,"1,25,61,01,755",6
ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,ANNA ASTI,6/3/2022,"2,10,81,306",0
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,3/13/2020,"60,97,16,786",15
Get Off The Wall,Get Off The Wall,Philly Goats,6/2/2023,"84,70,479",13
It'll Be Okay,It'll Be Okay,Shawn Mendes,12/1/2021,"34,46,58,498",10
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",La Pantera,1/14/2022,"28,32,28,006",42
Stereo Hearts (feat. Adam Levine),Megahits 2012 - Die Erste,Gym Class Heroes,1/1/2011,"1,31,85,96,835",26
Number 2,Number 2 / Never Last,Lil Tecca,5/3/2024,"2,07,42,763",7
Tuesday (feat. Drake),Tuesday (feat. Drake),ILOVEMAKONNEN,9/1/2014,"24,28,92,279",16
Killshot,Killshot,Eminem,9/19/2018,"41,59,71,193",8
Cartï¿½ï¿½o B,Cartï¿½ï¿½o B,MC Caverinha,5/11/2023,"14,34,21,339",6
Jai Jai Shivshankar (The Unwind Mix),The Unwind Mix,Benny Dayal,5/7/2022,"6,355",29
Fuck Niggaz,Fuck Niggaz,YoungBoy Never Broke Again,2/6/2024,"1,13,93,565",10
Drama (feat. Drake),Exis,Roy Woods,7/31/2015,"49,78,26,683",14
Entre Nosotros,Entre Nosotros,Tiago PZK,7/8/2021,"47,21,07,491",13
Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,8/31/2018,"70,95,60,621",23
Casanova,Casanova,Soolking,12/7/2023,"6,87,05,759",8
Fruto,en dormir sin Madrid,Bizarrap,10/3/2023,"18,81,31,570",5
Bandana,Bandana,Fireboy DML,7/13/2022,"11,89,71,684",7
the perfect pair,Beatopia,beabadoobee,7/15/2022,"23,01,29,740",14
F.N.F. (Let's Go),F.N.F. (Let's Go) - Single,Hitkidd,5/3/2022,"6,84,60,285",9
Falling Angel,Falling Angel,HCTM,8/13/2022,"72,997",12
Sofia,Sofia,Clairo,7/26/2019,"72,89,20,951",5
Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),Charli xcx,6/29/2023,"22,29,75,612",28
A N X I E T Y (feat. Doechii),Boy Meets World,Sleepy Hallow,9/15/2023,"6,36,07,535",18
Forever,Euphoria (Original Score from the HBO Series),Labrinth,10/4/2019,"32,18,92,912",7
SLUT ME OUT 2,SLUT ME OUT 2,NLE Choppa,4/12/2024,"2,14,88,710",10
He Ya Pyar Sajena,He Ya Pyar Sajena,TOADI,9/30/2022,"3,574",14
Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,"15,15,07,054",10
